Intensity,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5
1.0,0.9818128483426225,0.983981014535746,0.9834954317712938,0.9834661942722173,0.9793996468510888
1.0,0.9882663537694338,0.9899139721150993,0.9879162982611258,0.988780631827576,0.9864626250735727
1.0,0.9988266353769434,0.9994067042420647,0.9982316534040672,0.9994095069382934,0.9994114184814596
1.0,0.9991199765327076,0.999110056363097,0.9982316534040672,0.9985237673457337,0.9979399646851089
1.0,0.9976532707538868,0.9994067042420647,0.9985263778367227,0.998819013876587,0.9988228369629194
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9973599295981226,0.9976268169682587,0.9967580312407899,0.9970475346914673,0.9970570924072985
1.0,0.9909064241713113,0.99110056363097,0.9905688181550251,0.9911426040744021,0.9905826957033549
1.0,0.9903197418597829,0.99110056363097,0.9902740937223696,0.9908473575435489,0.9905826957033549
1.0,0.9900264007040188,0.9905072678730347,0.9905688181550251,0.9908473575435489,0.9911712772218952
1.0,0.9903197418597829,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9899941141848146
1.0,0.9900264007040188,0.99110056363097,0.9902740937223696,0.9914378506052554,0.9902884049440848
1.0,0.9900264007040188,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9894055326662743
1.0,0.9903197418597829,0.99110056363097,0.9905688181550251,0.9902568644818424,0.9905826957033549
1.0,0.9903197418597829,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9896998234255444
1.0,0.9906130830155471,0.99110056363097,0.9899793692897141,0.9905521110126956,0.9902884049440848
1.0,0.9903197418597829,0.99110056363097,0.9902740937223696,0.9905521110126956,0.9902884049440848
1.0,0.9900264007040188,0.99110056363097,0.9905688181550251,0.9908473575435489,0.9905826957033549
1.0,0.9906130830155471,0.99110056363097,0.9902740937223696,0.9908473575435489,0.9899941141848146
1.0,0.9906130830155471,0.99110056363097,0.9905688181550251,0.9902568644818424,0.9899941141848146
1.0,0.9900264007040188,0.99110056363097,0.9899793692897141,0.9908473575435489,0.9899941141848146
1.0,0.9900264007040188,0.9919905072678731,0.9905688181550251,0.9905521110126956,0.9902884049440848
1.0,0.9903197418597829,0.99110056363097,0.9902740937223696,0.9908473575435489,0.9902884049440848
1.0,0.9906130830155471,0.9908039157520023,0.9896846448570586,0.9905521110126956,0.9902884049440848
1.0,0.9900264007040188,0.9919905072678731,0.9905688181550251,0.9905521110126956,0.9902884049440848
1.0,0.9914931064828395,0.99110056363097,0.9905688181550251,0.9911426040744021,0.9902884049440848
1.0,0.9903197418597829,0.99110056363097,0.9905688181550251,0.9908473575435489,0.9902884049440848
1.0,0.9906130830155471,0.99110056363097,0.9902740937223696,0.9908473575435489,0.9896998234255444
1.0,0.9911997653270754,0.99110056363097,0.9890951959917477,0.9911426040744021,0.9899941141848146
1.0,0.9906130830155471,0.99110056363097,0.9905688181550251,0.9908473575435489,0.9899941141848146
1.0,0.9929598122616603,0.99110056363097,0.9899793692897141,0.9905521110126956,0.9902884049440848
1.0,0.9900264007040188,0.99110056363097,0.9902740937223696,0.9902568644818424,0.9899941141848146
1.0,0.9906130830155471,0.989320676357164,0.9902740937223696,0.9908473575435489,0.9902884049440848
1.0,0.9906130830155471,0.99110056363097,0.9902740937223696,0.9905521110126956,0.9899941141848146
1.0,0.9903197418597829,0.99110056363097,0.9899793692897141,0.9908473575435489,0.9896998234255444
1.0,0.9906130830155471,0.99110056363097,0.9905688181550251,0.9911426040744021,0.9905826957033549
1.0,0.9891463772367263,0.99110056363097,0.9902740937223696,0.9911426040744021,0.9902884049440848
1.0,0.9909064241713113,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9902884049440848
1.0,0.9906130830155471,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9902884049440848
1.0,0.9897330595482546,0.99110056363097,0.9905688181550251,0.9905521110126956,0.9896998234255444
1.0,0.9903197418597829,0.99110056363097,0.9902740937223696,0.9908473575435489,0.9899941141848146
1.0,0.9929598122616603,0.9940670424206467,0.9929266136162688,0.9935045763212282,0.9932313125367863
0.8,0.9794661190965093,0.9816078315040048,0.982316534040672,0.9822852081488043,0.9782224838140082
0.8,0.9947198591962453,0.9943636902996144,0.9935160624815798,0.9946855624446412,0.9958799293702177
0.8,0.9944265180404811,0.9949569860575497,0.9941055113468906,0.9946855624446412,0.9947027663331371
0.8,0.9897330595482546,0.9908039157520023,0.9902740937223696,0.9896663714201358,0.9896998234255444
0.8,0.9900264007040188,0.9905072678730347,0.9902740937223696,0.9905521110126956,0.9902884049440848
0.8,0.9900264007040188,0.9905072678730347,0.9896846448570586,0.988780631827576,0.9902884049440848
0.8,0.9897330595482546,0.9905072678730347,0.9893899204244032,0.9902568644818424,0.9899941141848146
0.8,0.9900264007040188,0.9928804509047761,0.9899793692897141,0.9905521110126956,0.9908769864626251
0.8,0.9900264007040188,0.9905072678730347,0.9893899204244032,0.9902568644818424,0.9902884049440848
0.8,0.9903197418597829,0.9905072678730347,0.9896846448570586,0.9905521110126956,0.9902884049440848
0.8,0.9906130830155471,0.9908039157520023,0.9893899204244032,0.9902568644818424,0.9899941141848146
0.8,0.9909064241713113,0.990210619994067,0.9896846448570586,0.9905521110126956,0.9902884049440848
0.8,0.9911997653270754,0.9905072678730347,0.9896846448570586,0.9905521110126956,0.9905826957033549
0.8,0.9903197418597829,0.9905072678730347,0.9893899204244032,0.9905521110126956,0.9899941141848146
0.8,0.9900264007040188,0.9908039157520023,0.9896846448570586,0.9905521110126956,0.9899941141848146
